"Name";"Adresse";"Adresszusatz";"PLZ";"Ort";"Gde-Nr.";"PLZE";"Gemeinde";"Kanton";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2586;4612;"Wangen bei Olten";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2582;4613;"Rickenbach (SO)";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2500;4632;"Trimbach";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2491;4633;"Hauenstein-Ifenthal";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2502;4634;"Wisen (SO)";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2501;4652;"Winznau";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2497;4653;"Obergösgen";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2493;4654;"Lostorf";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2499;4655;"Stüsslingen";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2584;4656;"Starrkirch-Wil";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2573;4657;"Dulliken";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2572;4658;"Däniken";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2422;4710;"Balsthal";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2583;5012;"Schönenwerd";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2495;5013;"Niedergösgen";"SO";
"Aare Versorgungs AG";"Aarburgerstrasse 39";"Postfach";4601;"Olten";2585;5746;"Walterswil (SO)";"SO";
"Acqua Gas Elettricità SA Chiasso";"Piazza Bernasconi 6";"C.P. 3143";6830;"Chiasso";5242;6828;"Balerna";"TI";
"Acqua Gas Elettricità SA Chiasso";"Piazza Bernasconi 6";"C.P. 3143";6830;"Chiasso";5250;6830;"Chiasso";"TI";
"Acqua Gas Elettricità SA Chiasso";"Piazza Bernasconi 6";"C.P. 3143";6830;"Chiasso";5268;6833;"Vacallo";"TI";
"Acqua Gas Elettricità SA Chiasso";"Piazza Bernasconi 6";"C.P. 3143";6830;"Chiasso";5257;6834;"Morbio Inferiore";"TI";
"Administration Communale Courchapoix";"Rue du Petit Bâle 1";;2825;"Courchapoix";6706;2825;"Courchapoix";"JU";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2543;2544;"Bettlach";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2556;2545;"Selzach";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2542;4512;"Bellach";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2550;4513;"Langendorf";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2551;4514;"Lommiswil";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2553;4515;"Oberdorf (SO)";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2555;4522;"Rüttenen";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2547;4524;"Günsberg";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2541;4525;"Balm bei Günsberg";"SO";
"AEK Energie AG";"Westbahnhofstr. 3";;4502;"Solothurn";2534;4528;"Zuchwil";"SO";
