ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;15,4505;6,3685;2;0,45;24,269
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;12,61064;6,25048;2;0,45;21,31112
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;9,281466667;5,241377778;2;0,45;16,97284444
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;10,42106667;6,203022222;2;0,45;19,07408889
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;8,32728;5,336293333;2;0,45;16,11357333
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;6,082184;4,386888;2;0,45;12,919072
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;7,897630769;5,544953846;2;0,45;15,89258462
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;9,35514;6,203646667;2;0,45;18,00878667
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;9,6627875;6,5476375;2;0,45;18,660425
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;8,48259;6,479963333;2;0,45;17,41255333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;9,559466667;5,0088;2;0,45;17,01826667
2;Acqua Gas Elettricità SA Chiasso;10175012345;C4;8,94096;4,71616;2;0,45;16,10712
2;Acqua Gas Elettricità SA Chiasso;10175012345;C5;5,68696;4,63424;2;0,45;12,7712
2;Acqua Gas Elettricità SA Chiasso;10175012345;C6;5,9808;4,846533333;2;0,45;13,27733333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C7;5,489046826;4,607279454;2;0,45;12,54632628
4;AEK Energie AG;10270012345;H1;18,775;10,45;1,1;0,45;30,775
4;AEK Energie AG;10270012345;H2;15,11942857;9,96;1,1;0,45;26,62942857
4;AEK Energie AG;10270012345;H3;9,821904762;8,933333333;1,1;0,45;20,3052381
4;AEK Energie AG;10270012345;H4;11,71571429;9,741666667;1,1;0,45;23,00738095
4;AEK Energie AG;10270012345;H5;8,344571429;8,92;1,1;0,45;18,81457143
4;AEK Energie AG;10270012345;H6;4,743371429;7,739371429;1,1;0,45;14,03274286
4;AEK Energie AG;10270012345;H7;7,742692308;9,054807692;1,1;0,45;18,3475
4;AEK Energie AG;10270012345;H8;10,02069048;9,635416667;1,1;0,45;21,20610714
4;AEK Energie AG;10270012345;C1;11,95708333;10,51979167;1,1;0,45;24,026875
4;AEK Energie AG;10270012345;C2;11,56680278;10,21594167;1;0,45;23,23274444
4;AEK Energie AG;10270012345;C3;9,607527778;9,695277778;1;0,45;20,75280556
4;AEK Energie AG;10270012345;C4;8,645241667;9,186416667;1;0,45;19,28165833
4;AEK Energie AG;10270012345;C5;5,817846667;9,186416667;0,06;0,45;15,51426333
4;AEK Energie AG;10270012345;C6;5,128;9,5965;0,02;0,45;15,1945
4;AEK Energie AG;10270012345;C7;4,35968;9,144445114;0,004;0,45;13,95812511
5;AEW Energie AG;10117012345;H1;14,81962798;7,086622024;0,87;0,45;23,22625
5;AEW Energie AG;10117012345;H2;11,70028571;7,003714286;0,68;0,45;19,834
5;AEW Energie AG;10117012345;H3;8,68015873;5,976507937;0,5;0,45;15,60666667
5;AEW Energie AG;10117012345;H4;9,303634921;7,055031746;0,53;0,45;17,33866667
5;AEW Energie AG;10117012345;H5;7,549038095;6,124161905;0,43;0,45;14,5532
5;AEW Energie AG;10117012345;H6;5,061885714;4,619031429;0,28;0,45;10,41091714
5;AEW Energie AG;10117012345;H7;6,641868132;6,075197802;0,37;0,45;13,53706593
5;AEW Energie AG;10117012345;H8;8,090547619;7,055452381;0,46;0,45;16,056
5;AEW Energie AG;10117012345;C1;8,7684375;8,4278125;0,5;0,45;18,14625
5;AEW Energie AG;10117012345;C2;7,4719;8,3397;0,42;0,45;16,6816
5;AEW Energie AG;10117012345;C3;7,544;8,18285;0,43;0,45;16,60685
5;AEW Energie AG;10117012345;C4;7,3257;7,79147;0,42;0,45;15,98717
5;AEW Energie AG;10117012345;C5;4,608933333;7,79147;0,23;0,45;13,08040333
5;AEW Energie AG;10117012345;C6;4,129555556;7,830341667;0,2;0,45;12,60989722
5;AEW Energie AG;10117012345;C7;3,587750475;7,354395672;0,18;0,45;11,57214615
6;AG Elektrizitätswerk Maienfeld;10256012345;H1;19,817;8,397;0,25;0,45;28,914
6;AG Elektrizitätswerk Maienfeld;10256012345;H2;15,81;8,397;0,25;0,45;24,907
6;AG Elektrizitätswerk Maienfeld;10256012345;H3;12,53766667;6,232;0,25;0,45;19,46966667
6;AG Elektrizitätswerk Maienfeld;10256012345;H4;12,64;8,397;0,25;0,45;21,737
6;AG Elektrizitätswerk Maienfeld;10256012345;H5;10,275;6,365;0,25;0,45;17,34
6;AG Elektrizitätswerk Maienfeld;10256012345;H6;6,3866;4,9966;0,25;0,45;12,0832
6;AG Elektrizitätswerk Maienfeld;10256012345;H7;9,052846154;6,665153846;0,25;0,45;16,418
6;AG Elektrizitätswerk Maienfeld;10256012345;H8;11,525;7,615;0,25;0,45;19,84
6;AG Elektrizitätswerk Maienfeld;10256012345;C1;10,907;8,397;0,25;0,45;20,004
6;AG Elektrizitätswerk Maienfeld;10256012345;C2;9,2235;8,010741667;0,25;0,45;17,93424167
6;AG Elektrizitätswerk Maienfeld;10256012345;C3;10,11716667;8,396333333;0,25;0,45;19,2135
6;AG Elektrizitätswerk Maienfeld;10256012345;C4;9,3724;7,687;0,25;0,45;17,7594
6;AG Elektrizitätswerk Maienfeld;10256012345;C5;7,2692;7,6854;0,25;0,45;15,6546
6;AG Elektrizitätswerk Maienfeld;10256012345;C6;7,058333333;8,388;0,25;0,45;16,14633333
6;AG Elektrizitätswerk Maienfeld;10256012345;C7;6,48114157;7,686977573;0,25;0,45;14,86811914
7;Alpen Energie;10751012345;H1;13,075;8,7;0;0,45;22,225
7;Alpen Energie;10751012345;H2;12,076;8,7;0;0,45;21,226
7;Alpen Energie;10751012345;H3;7,209333333;7,217333333;0;0,45;14,87666667
7;Alpen Energie;10751012345;H4;11,27777778;8,7;0;0,45;20,42777778
7;Alpen Energie;10751012345;H5;7,027866667;7,2968;0;0,45;14,77466667
7;Alpen Energie;10751012345;H6;4,55046;5,79936;0;0,45;10,79982
7;Alpen Energie;10751012345;H7;7,021653846;6,377230769;0;0,45;13,84888462
