ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;13,981;10,279;2;0,45;26,71
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;11,16928;10,08832;2;0,45;23,7076
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;8,080711111;8,457955556;2;0,45;18,98866667
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;8,991022222;10,01164444;2;0,45;21,45266667
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;7,103893333;8,611306667;2;0,45;18,1652
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;5,085168;7,077392;2;0,45;14,61256
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;6,624492308;8,948430769;2;0,45;18,02292308
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;7,924946667;10,01265333;2;0,45;20,3876
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;8,150575;10,568425;2;0,45;21,169
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;6,986513333;10,45908667;2;0,45;19,8956
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;8,074466667;8,810866667;2;0,45;19,33533333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C4;7,57396;8,34044;2;0,45;18,3644
2;Acqua Gas Elettricità SA Chiasso;10175012345;C5;6,04256;8,35924;2;0,45;16,8518
2;Acqua Gas Elettricità SA Chiasso;10175012345;C6;5,855133333;8,7782;2;0,45;17,08333333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C7;5,371148143;8,344746544;2;0,45;16,16589469
3;Administration Communale Courchapoix;10819012345;H1;14,71;10,95;1,2;0,45;27,31
3;Administration Communale Courchapoix;10819012345;H2;12,194;9,8648;1,2;0,45;23,7088
3;Administration Communale Courchapoix;10819012345;H3;8,867777778;8,458222222;1,2;0,45;18,976
3;Administration Communale Courchapoix;10819012345;H4;10,14277778;9,838222222;1,2;0,45;21,631
3;Administration Communale Courchapoix;10819012345;H5;7,995166667;8,610533333;1,2;0,45;18,2557
3;Administration Communale Courchapoix;10819012345;H6;5,69555;7,27316;1,2;0,45;14,61871
3;Administration Communale Courchapoix;10819012345;H7;7,424903846;8,368384615;1,2;0,45;17,44328846
3;Administration Communale Courchapoix;10819012345;H8;9,130152778;9,838988889;1,2;0,45;20,61914167
3;Administration Communale Courchapoix;10819012345;C1;9,649661458;10,50410417;1,2;0,45;21,80376563
3;Administration Communale Courchapoix;10819012345;C3;9,099194444;9,171194444;1,2;0,45;19,92038889
3;Administration Communale Courchapoix;10819012345;C4;7,325341667;8,684141667;1,2;0,45;17,65948333
4;AEK Energie AG;10270012345;H1;17,06;10,30833333;1,1;0,45;28,91833333
4;AEK Energie AG;10270012345;H2;13,666;10,11;1,1;0,45;25,326
4;AEK Energie AG;10270012345;H3;9,13;9,083333333;1,1;0,45;19,76333333
4;AEK Energie AG;10270012345;H4;10,585;9,891666667;1,1;0,45;22,02666667
4;AEK Energie AG;10270012345;H5;7,762;9,07;1,1;0,45;18,382
4;AEK Energie AG;10270012345;H6;4,7506;7,889371429;1,1;0,45;14,18997143
4;AEK Energie AG;10270012345;H7;7,151730769;9,201538462;1,1;0,45;17,90326923
4;AEK Energie AG;10270012345;H8;9,04975;9,785416667;1,1;0,45;20,38516667
4;AEK Energie AG;10270012345;C1;10,515625;10,66979167;1,1;0,45;22,73541667
4;AEK Energie AG;10270012345;C2;10,40120111;10,40602778;1;0,45;22,25722889
4;AEK Energie AG;10270012345;C3;8,418211111;10,078;1;0,45;19,94621111
4;AEK Energie AG;10270012345;C4;7,591136667;9,5546;1;0,45;18,59573667
4;AEK Energie AG;10270012345;C5;5,262658333;9,5546;0,06;0,45;15,32725833
4;AEK Energie AG;10270012345;C6;4,69;9,4764;0,02;0,45;14,6364
4;AEK Energie AG;10270012345;C7;3,94536;9,01142926;0,004;0,45;13,41078926
5;AEW Energie AG;10117012345;H1;13,58708333;8,053311012;0,787625;0,45;22,87801935
5;AEW Energie AG;10117012345;H2;10,838;8,006857143;0,62268;0,45;19,91753714
5;AEW Energie AG;10117012345;H3;8,114444444;7,448253968;0,459266667;0,45;16,47196508
5;AEW Energie AG;10117012345;H4;8,731777778;8,032515873;0,496306667;0,45;17,71060032
5;AEW Energie AG;10117012345;H5;7,131066667;7,527080952;0,400264;0,45;15,50841162
5;AEW Energie AG;10117012345;H6;4,855494286;6,655117143;0,263729657;0,45;12,22434109
5;AEW Energie AG;10117012345;H7;6,514824176;7,434758242;0,363289451;0,45;14,76287187
5;AEW Energie AG;10117012345;H8;7,665333333;8,03272619;0,43232;0,45;16,58037952
5;AEW Energie AG;10117012345;C1;8,35375;8,77890625;0,473625;0,45;18,05628125
5;AEW Energie AG;10117012345;C2;7,2072;8,73485;0,404832;0,45;16,796882
5;AEW Energie AG;10117012345;C3;7,441333333;8,399583333;0,41888;0,45;16,70979667
5;AEW Energie AG;10117012345;C4;6,613266667;8,142566667;0,369196;0,45;15,57502933
5;AEW Energie AG;10117012345;C5;3,658933333;8,142566667;0,175941333;0,45;12,42744133
5;AEW Energie AG;10117012345;C6;3,359555556;8,145702778;0,159475556;0,45;12,11473389
5;AEW Energie AG;10117012345;C7;3,035750475;7,805778031;0,141666276;0,45;11,43319478
6;AG Elektrizitätswerk Maienfeld;10256012345;H1;18,235;9,5;0,25;0,45;28,435
6;AG Elektrizitätswerk Maienfeld;10256012345;H2;15,562;9,5;0,25;0,45;25,762
6;AG Elektrizitätswerk Maienfeld;10256012345;H3;11,90206349;7,426031746;0,25;0,45;20,02809524
6;AG Elektrizitätswerk Maienfeld;10256012345;H4;12,8471746;8,208253968;0,25;0,45;21,75542857
6;AG Elektrizitätswerk Maienfeld;10256012345;H5;9,78647619;7,503238095;0,25;0,45;17,98971429
6;AG Elektrizitätswerk Maienfeld;10256012345;H6;6,538742857;6,730971429;0,25;0,45;13,96971429
6;AG Elektrizitätswerk Maienfeld;10256012345;H7;8,590626374;7,672967033;0,25;0,45;16,96359341
6;AG Elektrizitätswerk Maienfeld;10256012345;H8;10,63952381;8,208761905;0,25;0,45;19,54828571
6;AG Elektrizitätswerk Maienfeld;10256012345;C1;11,813125;9,1;0,25;0,45;21,613125
6;AG Elektrizitätswerk Maienfeld;10256012345;C2;9,204233333;9,076266667;0,25;0,45;18,9805
6;AG Elektrizitätswerk Maienfeld;10256012345;C3;10,01216667;8,988;0,25;0,45;19,70016667
6;AG Elektrizitätswerk Maienfeld;10256012345;C4;9,3383;8,5743;0,25;0,45;18,6126
6;AG Elektrizitätswerk Maienfeld;10256012345;C5;7,3056;8,416;0,25;0,45;16,4216
